id,key,value,type
7673224,tlid,188729020,tiger
7673224,county,"Weld, CO",tiger
7673224,source,tiger_import_dch_v0.6_20070809,tiger
7673224,reviewed,no,tiger
7673224,separated,no,tiger
7673224,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673301,access,private,regular
7673301,highway,service,regular
7673301,cfcc,A74,tiger
7673301,tlid,188720150,tiger
7673301,county,"Weld, CO",tiger
7673301,source,tiger_import_dch_v0.6_20070809,tiger
7673301,reviewed,no,tiger
7673301,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673398,highway,residential,regular
7673398,cfcc,A41,tiger
7673398,tlid,188704804:188704805:188670677:188670681:188670672:188670685,tiger
7673398,county,"Weld, CO",tiger
7673398,source,tiger_import_dch_v0.6_20070809,tiger
7673398,reviewed,no,tiger
7673398,separated,no,tiger
7673398,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673494,lanes,1,regular
7673494,oneway,yes,regular
7673494,bicycle,no,regular
7673494,highway,motorway_link,regular
7673494,surface,asphalt,regular
7673494,tracktype,grade1,regular
7673494,cfcc,A63,tiger
7673494,destination,Longmont;Platteville,regular
7673494,county,"Weld, CO",tiger
7673494,reviewed,no,tiger
7673494,ref,CO 66,destination
7673621,access,private,regular
7673621,highway,service,regular
7673621,cfcc,A74,tiger
7673621,tlid,188708234,tiger
7673621,county,"Weld, CO",tiger
7673621,source,tiger_import_dch_v0.6_20070809,tiger
7673621,reviewed,no,tiger
7673621,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673683,oneway,yes,regular
7673683,bicycle,no,regular
7673683,highway,motorway_link,regular
7673683,cfcc,A41,tiger
7673683,tlid,188742481:188742482:188743443:188742478,tiger
7673683,county,"Weld, CO",tiger
7673683,source,tiger_import_dch_v0.6_20070809,tiger
7673683,reviewed,no,tiger
7673683,separated,no,tiger
7673683,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673760,access,private,regular
7673760,highway,service,regular
7673760,cfcc,A74,tiger
7673760,tlid,188663826,tiger
7673760,county,"Weld, CO",tiger
7673760,source,tiger_import_dch_v0.6_20070809,tiger
7673760,reviewed,no,tiger
7673760,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673842,highway,residential,regular
7673842,cfcc,A41,tiger
7673842,county,"Weld, CO",tiger
